id, combatant_count, run_number, seconds_taken
213, 500, 13, 0.778
214, 500, 14, 0.703
215, 500, 15, 0.752
216, 500, 16, 0.753
217, 500, 17, 0.791
218, 500, 18, 0.717
219, 500, 19, 0.685
220, 500, 20, 1.035
221, 500, 21, 0.781
222, 500, 22, 0.742
223, 500, 23, 0.739
224, 500, 24, 0.856
225, 500, 25, 0.914
226, 500, 26, 0.947
227, 500, 27, 0.682
228, 500, 28, 0.995
229, 500, 29, 0.906
230, 500, 30, 0.936
231, 500, 31, 0.843
232, 500, 32, 0.746
233, 500, 33, 0.797
234, 500, 34, 0.849
235, 500, 35, 0.794
236, 500, 36, 0.808
237, 500, 37, 0.858
238, 500, 38, 0.73
239, 500, 39, 0.748
240, 500, 40, 0.706
241, 500, 41, 0.731
242, 500, 42, 0.87
243, 500, 43, 0.707
244, 500, 44, 0.751
245, 500, 45, 0.771
246, 500, 46, 0.698
247, 500, 47, 0.712
248, 500, 48, 0.694
249, 500, 49, 0.688
250, 500, 50, 0.691
251, 500, 51, 0.824
252, 500, 52, 0.741
253, 500, 53, 0.714
254, 500, 54, 0.75
255, 500, 55, 0.701
256, 500, 56, 0.652
257, 500, 57, 0.717
258, 500, 58, 0.687
259, 500, 59, 0.767
260, 500, 60, 0.676
261, 500, 61, 0.719
262, 500, 62, 0.722
263, 500, 63, 0.7
264, 500, 64, 0.715
265, 500, 65, 0.713
266, 500, 66, 0.726
267, 500, 67, 0.717
268, 500, 68, 0.87
269, 500, 69, 0.801
270, 500, 70, 0.71
271, 500, 71, 0.937
272, 500, 72, 1.884
273, 500, 73, 1.742
274, 500, 74, 1.066
275, 500, 75, 2.478
276, 500, 76, 1.077
277, 500, 77, 0.863
278, 500, 78, 0.926
279, 500, 79, 0.708
280, 500, 80, 0.87
281, 500, 81, 0.793
282, 500, 82, 1.493
283, 500, 83, 0.764
284, 500, 84, 0.893
285, 500, 85, 0.876
286, 500, 86, 0.982
287, 500, 87, 0.815
288, 500, 88, 0.77
289, 500, 89, 0.713
290, 500, 90, 0.817
291, 500, 91, 0.763
292, 500, 92, 0.811
293, 500, 93, 0.949
294, 500, 94, 0.869
295, 500, 95, 1.092
296, 500, 96, 0.966
297, 500, 97, 0.717
298, 500, 98, 0.637
299, 500, 99, 0.745
300, 700, 0, 1.623
301, 700, 1, 2.315
302, 700, 2, 1.459
303, 700, 3, 2.023
304, 700, 4, 2.458
305, 700, 5, 1.915
306, 700, 6, 1.955
307, 700, 7, 1.515
308, 700, 8, 1.883
309, 700, 9, 1.411
310, 700, 10, 1.337
311, 700, 11, 1.816
312, 700, 12, 1.268
313, 700, 13, 1.751
314, 700, 14, 1.365
315, 700, 15, 1.332
316, 700, 16, 1.459
317, 700, 17, 1.671
318, 700, 18, 1.638
319, 700, 19, 1.97
320, 700, 20, 1.654
321, 700, 21, 1.405
322, 700, 22, 1.322
323, 700, 23, 1.325
324, 700, 24, 1.347
325, 700, 25, 1.833
326, 700, 26, 1.355
327, 700, 27, 1.526
328, 700, 28, 1.287
329, 700, 29, 1.485
330, 700, 30, 1.243
331, 700, 31, 1.416
332, 700, 32, 1.464
333, 700, 33, 1.982
334, 700, 34, 1.788
335, 700, 35, 2.183
336, 700, 36, 1.392
337, 700, 37, 1.75
338, 700, 38, 1.205
339, 700, 39, 1.264
340, 700, 40, 1.25
341, 700, 41, 1.265
342, 700, 42, 1.274
343, 700, 43, 1.315
344, 700, 44, 1.502
345, 700, 45, 1.371
346, 700, 46, 1.173
